filler_zip,poly_index,assigned_to_zip,centroid_lon,centroid_lat,area_m2
878MX,3,87832,-106.5105728,33.6305129,1236259704.52
878MX,4,87006,-107.0442368,34.4072620,343740621.15
878MX,5,87825,-107.6283474,34.4581799,211422232.64
879MX,0,87901,-106.5101039,33.2039948,1490090622.79
879MX,1,87936,-107.1078843,32.8450649,438570333.02
879MX,2,88030,-107.1759969,32.4037877,222618884.66
880MX,0,88011,-106.4694182,32.2366244,272514749.72
880MX,1,88011,-106.4642723,32.8012062,1570785213.62
880MX,2,88012,-106.9053530,32.6922780,229245179.13
880MX,3,88030,-108.1889568,32.4836915,58301480.93
882MX,0,88240,-103.5232528,32.5067817,42888198.62
883MX,0,88352,-106.2581772,33.2870656,1533988903.97
883MX,1,88310,-106.2768720,32.5562283,545897220.94
883MX,2,88344,-105.4716416,32.2292860,5554103799.75
890MH,0,89040,-114.3318330,36.6285782,20906296.68
890MH,1,86443,-114.2151457,36.0963140,62809183.52
890MX,0,89043,-114.1402677,38.5581720,455426018.34
890MX,1,89008,-114.2344454,36.9883020,1379068198.83
890MX,2,89007,-114.2167151,36.2883518,1257915751.33
890MX,3,89049,-116.1950304,37.9279580,47176853767.05
893MX,0,89310,-117.2425442,39.8757451,635460579.00
893MX,1,89316,-116.4220677,40.1209738,1429154482.08
893MX,2,89301,-114.2895913,39.7524908,3407233156.52
893MX,3,89316,-115.6862509,39.4716240,11499385399.23
893MX,4,89311,-114.5257923,38.8580358,2315724429.43
894MH,0,89415,-118.7367620,38.7696399,10610863.11
894MX,0,89426,-117.2716007,41.7079090,2885615039.61
894MX,1,89438,-117.3400008,40.7734513,539635962.20
894MX,2,89425,-118.3788103,41.8584053,772233199.90
894MX,3,89420,-117.7443222,38.6642871,1285921074.99
894MX,4,89406,-118.4143561,39.3859634,407623312.24
894MX,5,89419,-117.9997795,39.9844272,4901320030.97
894MX,6,89419,-119.1076074,40.8332418,9065471765.36
894MX,7,89415,-118.4128759,38.5603354,5761069296.48
898MX,0,89825,-114.3921782,41.7254100,3136919730.74
898MX,1,89826,-115.0136057,41.9155225,671616066.08
898MX,2,89826,-115.3665547,41.5867180,2315690733.56
898MX,3,89801,-115.8001483,41.8705795,483628655.06
898MX,4,89833,-114.6115089,40.4402750,6797600655.21
898MX,5,89822,-116.0418534,40.9459152,328373151.16
898MX,6,89815,-115.9113755,40.3751277,1230057652.51
898MX,7,89820,-116.4912558,41.0540605,660766872.54
898MX,8,89832,-116.6816175,41.6788235,4154656861.37
898MX,9,89820,-117.2549578,40.4927876,293201353.08
907MX,0,93042,-118.4853928,32.9002884,146800971.09
920MX,0,92539,-116.4437452,33.4079137,20813810.92
922MX,0,92242,-114.3823776,34.3070386,370912648.62
922MX,1,92277,-115.1090030,34.5066974,1696346955.02
922MX,2,92239,-115.3681606,33.7861946,6008148800.19
922MX,3,92277,-116.2683052,34.4147656,195913674.12
923MX,0,92332,-114.8789490,35.1044701,317782427.71
923MX,1,92364,-115.1882225,35.3676757,214628127.48
923MX,2,92363,-114.9092945,34.7710060,988170625.39
923MX,3,92364,-115.8324785,35.0579803,2190246815.90
923MX,4,92285,-116.2419698,34.5438502,1232422226.91
923MX,5,92384,-116.6650866,35.7651017,14861009044.50
931MX,0,93001,-120.1050212,33.9665962,214744522.79
931MX,1,93001,-120.3746685,34.0382780,42338336.80
932MX,0,93501,-118.0663460,35.4719263,46972906.63
932MX,1,93501,-118.1112049,35.4065807,56946825.93
932MX,2,93527,-118.4273187,36.5080032,799085270.98
932MX,3,93527,-118.2960241,35.9661469,596648458.40
932MX,4,93212,-119.7178782,35.9265331,409429987.96
932MX,5,93249,-119.9133489,35.4751464,37240550.65
934MX,0,93224,-119.6532088,35.0771116,79061907.24
934MX,1,93254,-119.9117599,34.8675146,673819389.50
934MX,2,93105,-119.5529577,34.6362526,404895702.04
935MX,0,93545,-118.0399825,36.8230033,177981038.06
935MX,1,93522,-117.5344371,36.5881905,8637476073.23
935MX,2,93514,-118.6933614,37.7648479,321336874.98
935MX,3,93528,-117.5938308,35.3620879,857653724.71
935MX,4,93546,-118.8403647,37.9624474,514703741.69
935MX,5,93501,-118.1279033,35.2937626,147868233.75
936MX,0,93634,-118.6130068,36.8585433,1165498821.78
936MX,1,93529,-119.3002844,37.5785105,1161747176.69
939MX,0,93930,-121.3145644,36.0116092,69624036.44
952MX,0,95223,-120.2124650,38.4449561,1425539.53
953MX,0,95389,-119.4472841,37.7544477,272781756.49
953MX,1,95335,-119.9566166,38.0674166,15475617.33
953MX,2,95223,-120.0618941,38.3265937,195557614.55
953MX,3,95321,-120.0452892,37.9698013,57008980.30
954MX,0,95939,-122.8605637,39.5652034,93009435.19
954MX,1,95469,-122.8147216,39.3825509,110467666.24
955MX,0,97523,-123.5801366,41.9753453,31277841.27
955MX,1,95543,-123.9319976,41.9803949,18679105.99
955MX,2,95546,-123.7630680,41.5070453,225401192.97
955MX,3,95546,-123.9602369,41.1775155,154470447.76
956MX,0,95634,-120.4454325,38.9230771,59990403.76
957MX,0,95631,-120.5238530,39.1721400,367431209.54
957MX,1,95634,-120.5831412,38.9956682,9864693.45
957MX,2,95735,-120.3846640,38.9630566,135799292.00
959MX,0,95915,-121.2804904,40.1304449,81160949.42
959MX,1,95934,-121.0634298,40.1085149,10945227.49
959MX,2,95963,-122.8019732,39.6825067,326383097.71
959MX,3,95978,-121.4155526,39.9640324,72764220.06
959MX,4,95724,-120.4833124,39.4156217,31785384.08
960MX,0,96137,-121.1166771,40.4162282,54431356.56
960MX,1,96071,-121.4245419,40.5660563,95325208.43
960MX,2,96096,-121.6306293,40.6984173,194971152.90
960MX,3,96056,-121.6080210,41.4555911,1983860418.28
960MX,4,95942,-121.5717049,40.1940517,60323898.82
960MX,5,95973,-121.7045123,40.2074390,74355459.18
960MX,6,95552,-122.8129111,40.1555896,12176762.31
960MX,7,95428,-122.7206095,39.8490679,97360359.29
961MX,0,96123,-120.0431349,40.6973910,85866454.05
961MX,1,96136,-120.0324331,40.4881498,69412886.05
961MX,2,96123,-120.2017752,41.0931752,378466758.02
961MX,3,96006,-120.8014610,41.0341330,64036675.84
961MX,4,95983,-120.4701129,40.0696569,83560356.86
961MX,5,96134,-120.9889113,41.7602877,2502067118.39
961MX,6,96130,-121.0905603,40.6134078,1276216000.81
961MX,7,96146,-120.4424762,39.0444243,240903831.31
967MX,0,96796,-159.7243317,22.0617263,28458643.83
967MX,1,96763,-156.6093426,20.5468978,116759881.42
967MX,2,96720,-155.5040155,19.6076612,1354276178.46
970MX,0,97049,-121.9669224,45.1959334,21622521.25
970MX,1,97063,-121.5822172,45.2331338,18496606.35
970MX,2,97023,-121.9695869,44.9967985,821196314.66
971MX,0,97138,-123.4377896,45.7554927,1146215.34
971MX,1,97131,-123.6912553,45.6256487,3147315.02
971MX,2,97131,-123.6515189,45.6471479,11858762.26
971MX,3,97144,-123.4577318,45.7136893,25695472.59
971MX,4,97119,-123.4281485,45.4815172,17970234.54
973MX,0,97342,-121.9399651,44.8473700,244603876.19
973MX,1,97413,-122.0773343,44.4488723,225019531.90
973MX,2,97329,-122.3262735,44.5935723,432687427.90
973MX,3,97367,-123.7237163,44.8831789,39617733.12
974MX,0,97436,-123.6466925,43.8210728,47689169.71
974MX,1,97488,-122.3657065,43.9356339,119814936.80
974MX,2,97486,-123.7524634,43.3649477,229459547.87
974MX,3,97434,-122.5747334,43.5125394,1188406093.07
974MX,4,97484,-122.7558245,43.1430859,88292424.99
974MX,5,97469,-123.7009441,42.8211288,179307922.79
974MX,6,97447,-122.5332410,43.0380704,513796235.01
975MX,0,97406,-123.7129913,42.6900322,109886677.21
975MX,1,97536,-122.5898793,42.8981586,6779169.08
975MX,2,97406,-123.8800576,42.5056428,87279149.18
977MX,0,97754,-119.7223635,43.8541104,677712184.94
977MX,1,97758,-119.9850733,43.5408984,370957148.24
977MX,2,97637,-119.5614682,42.9936442,2225072906.52
977MX,3,97641,-120.3169879,43.4922876,82879538.32
977MX,4,97710,-119.3065002,42.2676225,2370017654.44
977MX,5,97630,-120.2097511,42.8643064,263797744.55
977MX,6,97761,-121.6151370,44.8774834,934362729.35
977MX,7,97623,-120.9258670,42.0919161,254483595.95
977MX,8,97622,-121.0775865,42.7505462,1494756737.76
977MX,9,97735,-121.3045443,43.3934873,1959200515.73
978MX,0,97828,-117.7853896,45.9392037,252247592.89
978MX,1,97868,-118.6348923,45.2086238,78585580.09
978MX,2,97877,-118.8177632,44.9567759,64142952.29
978MX,3,97867,-118.3135124,45.0827704,360591142.89
978MX,4,97825,-119.3570325,44.2294566,28206912.89
978MX,5,97904,-118.6887485,44.1061601,54112382.57
978MX,6,97904,-118.3885556,44.1775278,252945147.33
982MX,0,98283,-121.2026486,48.7992059,2950930872.60
983MX,0,98548,-123.4655963,47.7557314,961968459.38
985MX,0,98526,-124.2141298,47.4023230,202473561.57
986MX,0,98650,-121.8249609,46.1972325,1394512367.03
988MX,0,98833,-120.3204433,48.8289045,1958414828.94
989MX,0,98901,-120.1663622,46.7124684,937219199.59
989MX,1,98619,-121.2544196,46.2175338,1425938262.08
989MX,2,98948,-120.5197057,46.1028673,159432342.90
995MH,0,99632,-163.8828926,62.2888452,266206823.97
995MH,1,99690,-163.7789610,61.5556159,105054048.63
995MH,2,99690,-163.7556662,60.3047953,488167885.22
995MH,3,99658,-162.8215117,62.3087268,38534759.80
995MH,4,99690,-162.6020147,60.2827023,38691122.39
995MH,5,99690,-162.3223373,60.1575870,30679072.69
995MH,6,99690,-161.7281500,60.5027821,43975347.05
995MH,7,99558,-160.6046116,62.8285409,30957062.25
995MH,8,99657,-160.7429236,61.9344813,41781113.46
995MH,9,99590,-159.5650273,63.2058928,836217081.12
995MH,10,99576,-158.9179139,59.3912209,42249788.16
995MH,11,99576,-158.7998482,59.5381768,199935800.48
995MH,12,99576,-157.3261088,59.9184451,51811178.44
995MH,13,99579,-158.1009156,57.3306815,37528682.09
995MH,14,99579,-156.7817685,57.5982282,401574910.29
995MH,15,99579,-156.4055876,57.9240329,1234049826.94
995MH,16,99588,-145.4021159,62.1770049,48307207.41
995MH,17,99574,-144.4369512,60.9791630,44335870.43
995MH,18,99574,-144.6101874,60.4149761,84858975.85
995MX,0,99547,-179.1081993,51.2617824,34536088.18
995MX,1,99547,-178.9565933,51.3604713,31685762.90
995MX,2,99547,-178.7935865,51.5558407,15310650.23
995MX,3,99547,-177.9669621,51.7963685,509614717.49
995MX,4,99547,-178.8026511,51.7914372,344536307.70
995MX,5,99547,-177.2794851,51.7819645,375167018.04
995MX,6,99547,-175.8132549,51.9381524,17865370.85
995MX,7,99547,-175.7109481,51.9579360,14634913.07
995MX,8,99547,-175.8892071,51.9827616,21296422.24
995MX,9,99547,-176.1020055,52.0470500,160516628.25
995MX,10,99547,-174.1592310,52.0976806,1142591300.62
995MX,11,99547,-175.5085439,52.1743762,151291955.17
995MX,12,99547,-172.4723044,52.3199313,207298766.92
995MX,13,99553,-166.1442017,53.9750505,28351427.80
995MX,14,99553,-165.5303128,54.0442423,14804930.06
995MX,15,99553,-165.9544152,54.1183391,230900570.96
995MX,16,99553,-165.5569463,54.2064541,160369385.42
995MX,17,99604,-165.6852366,61.3664467,278051984.71
995MX,18,99604,-165.3564804,61.5502954,1303653467.52
995MX,19,99553,-165.3277163,54.0738583,36406036.98
995MX,20,99553,-165.0589909,54.1017722,102719731.98
995MX,21,99553,-164.8246744,54.2039694,15644015.71
995MX,22,99553,-162.6486761,54.4231128,147207565.91
995MX,23,99583,-164.1028176,54.7361959,4041012526.36
995MX,24,99583,-162.9574189,55.0449575,1026942872.93
995MX,25,99571,-163.1574733,55.4355145,246770526.59
995MX,26,99628,-159.9807279,58.5987093,150375526.16
995MX,27,99628,-160.2832454,58.6842831,16613802.15
995MX,28,99628,-160.4130075,58.7141789,15195669.33
995MX,29,99622,-163.2691821,60.2061947,4401941273.04
995MX,30,99690,-164.8457831,61.2059190,411118939.30
995MX,31,99666,-161.8382069,61.5848756,59088293660.50
995MX,32,99607,-160.6484797,61.8372549,466463670.74
995MX,33,99666,-164.5070007,62.8814285,776409299.12
995MX,34,99666,-164.3272393,62.9962428,9039907.95
995MX,35,99620,-164.0455445,63.1284456,650510566.71
995MX,36,99666,-164.5421109,63.1160029,17470056.97
995MX,37,99666,-164.3702691,63.1177369,190233952.46
995MX,38,99612,-159.5603345,54.7856886,31375663.88
995MX,39,99612,-159.7579004,54.8195958,22371014.79
995MX,40,99648,-158.8114628,55.8538653,47931982.12
995MX,41,99548,-158.3410225,56.9295938,38261549601.94
995MX,42,99576,-157.0742264,59.8598879,17073271932.41
995MX,43,99574,-144.4083087,59.9167712,80853819.20
995MX,44,99574,-147.4452183,60.0407778,851709106.87
995MX,45,99574,-147.4222734,60.2646717,31462484.57
995MX,46,99574,-148.0660796,60.3227374,64120376.75
995MX,47,99574,-147.7596504,60.3325371,277742985.09
995MX,48,99574,-145.2964905,60.3716578,55011911.42
995MX,49,99566,-143.9235599,60.5979782,8339272076.47
995MX,50,99557,-150.2091884,61.1506265,16832115.42
995MX,51,99557,-158.3934558,61.7416227,492426487.16
995MX,52,99575,-157.9874670,62.0295234,872661674.42
995MX,53,99566,-143.2820185,62.1885129,14104438133.15
995MX,54,99586,-145.4043207,62.8111383,9066343627.29
996MH,0,99607,-163.6963448,62.6690169,130979218.47
996MH,1,99658,-164.8537786,61.5609231,191670424.53
996MH,2,99658,-163.1341181,61.9325784,165729923.46
996MH,3,99650,-162.4481213,61.8413144,89269518.93
996MH,4,99551,-161.1585128,61.0006391,147670726.23
996MH,5,99558,-160.0891611,62.3518361,230697301.66
996MH,6,99665,-159.5391302,62.1533018,187257901.57
996MH,7,99653,-154.0680105,60.3166299,224590870.93
996MH,8,99606,-155.4243993,59.1023491,12959450427.92
996MH,9,99664,-150.8717907,60.1840475,297188219.02
996MH,10,99572,-150.3505601,60.4232109,100526096.40
996MH,11,99664,-140.1280392,59.8125540,113309760.74
996MH,12,99664,-138.1529476,59.2922276,116514856.86
996MX,0,99690,-173.0782053,60.6566179,15919572.38
996MX,1,99690,-172.7607795,60.1988797,141671507.93
996MX,2,99690,-172.7236132,60.4281213,366920290.24
996MX,3,99638,-171.2581124,52.4860350,51190728.92
996MX,4,99638,-170.7015502,52.6274051,173060876.03
996MX,5,99638,-170.1187673,52.7513753,54787776.40
996MX,6,99638,-170.0543360,52.8932156,42235150.76
996MX,7,99638,-169.7632916,53.0635411,9321267.40
996MX,8,99638,-169.7135946,52.9940155,40412731.08
996MX,9,99638,-169.8236326,52.8376907,167463596.26
996MX,10,99666,-165.9593546,61.6168345,199208528.78
996MX,11,99638,-168.3375939,53.2800560,1725681733.76
996MX,12,99604,-165.4317944,61.2527221,536149497.39
996MX,13,99630,-166.3906537,60.0969243,4148393832.97
996MX,14,99666,-165.1555305,61.9766856,4310127663.72
996MX,15,99666,-163.7086404,63.1167189,160879972.19
996MX,16,99690,-164.7044027,60.6315361,1733737509.06
996MX,17,99690,-164.3101061,60.9278645,344962450.34
996MX,18,99685,-166.8871167,53.6611410,2686394523.18
996MX,19,99690,-164.1771038,60.4515206,1952881568.52
996MX,20,99671,-162.5160866,63.5834021,140327340.94
996MX,21,99622,-163.8408382,59.8882214,538363410.94
996MX,22,99771,-161.3063870,64.1253820,140412188.42
996MX,23,99690,-162.9337474,61.3818889,1811636022.85
996MX,24,99657,-162.4651592,62.1342217,3219586990.36
996MX,25,99746,-160.6389757,64.2961003,15873526843.36
996MX,26,99607,-160.1966076,62.3410462,5576128172.22
996MX,27,99612,-162.3229471,54.9092603,150190727.77
996MX,28,99651,-160.9264044,58.6643944,301853513.05
996MX,29,99557,-160.4896533,61.2655620,5994497141.06
996MX,30,99548,-161.6169218,55.2250925,43079078.24
996MX,31,99548,-161.7556043,55.1150828,157117703.79
996MX,32,99548,-161.3754107,55.1948053,33545593.49
996MX,33,99661,-160.2415774,55.4259468,71869705.65
996MX,34,99661,-160.0717967,55.3243147,15750974.54
996MX,35,99656,-157.6761265,61.5004873,4164496794.51
996MX,36,99661,-160.0202137,55.0995431,356117438.04
996MX,37,99661,-159.4038869,55.0095494,77797168.67
996MX,38,99661,-159.2709067,54.9027795,48344626.45
996MX,39,99579,-157.2104852,57.8337745,3439903453.16
996MX,40,99625,-155.8779744,59.6378620,1310794000.83
996MX,41,99640,-154.4488664,60.5607219,6395024007.65
996MX,42,99647,-154.0147057,60.1513875,2444106939.77
996MX,43,99682,-154.0419690,59.6693948,747575103.75
996MX,44,delete,-154.4912480,58.0526112,55978.92
996MX,45,delete,-155.6302998,55.8093385,450667589.75
996MX,46,99682,-153.4537683,59.3644623,94781581.59
996MX,47,99682,-152.5921422,60.1435208,23785007.03
996MX,48,99682,-154.6026648,58.4350640,7664164389.29
996MX,49,99615,-154.6282177,56.5011955,168469253.05
996MX,50,99682,-151.9479664,60.4423405,56232847.57
996MX,51,99615,-154.0708743,56.7017984,20732597.23
996MX,52,99615,-153.3708547,57.8906799,148968926.32
996MX,53,99615,-154.1490921,56.5483700,245968685.81
996MX,54,99675,-156.0546859,62.9033221,65593880673.21
996MX,55,delete,-152.2658742,58.9292531,29507654.27
996MX,56,99667,-150.7596023,61.2883569,185223962.63
996MX,57,99603,-151.8286067,59.1569680,15982199.43
996MX,58,99643,-153.1831475,57.1179038,300290656.32
996MX,59,delete,-151.6830380,59.1125054,12069793.69
996MX,60,delete,-151.4759173,59.1281645,13841716.85
996MX,61,delete,-151.8405060,58.2167346,45610805.65
996MX,62,99605,-150.2252620,60.7184592,2018119887.94
996MX,63,99603,-150.6848067,59.3546682,60673112.09
996MX,64,99603,-150.6526923,59.9277877,1513994889.04
996MX,65,99664,-150.3664275,59.4268536,21464310.34
996MX,66,99588,-148.3589787,62.4686606,12295795686.11
996MX,67,99664,-148.4471638,60.6427858,454507916.06
996MX,68,99664,-148.1625310,60.6984241,75666025.63
996MX,69,99588,-147.3264605,61.6305490,1712277049.48
996MX,70,delete,-147.6327563,60.5150730,10327781.86
996MX,71,delete,-147.5866575,60.5506544,13113500.52
996MX,72,delete,-147.4092190,60.6553487,38376319.70
996MX,73,99566,-143.7121088,60.0597757,163974370.48
996MX,74,99566,-140.3788635,59.9074059,19060776920.57
997MH,0,99763,-161.3547499,66.7419086,976666995.39
997MH,1,99791,-156.3410126,70.9259742,33303700.47
997MH,2,99721,-158.3524803,67.9342421,32318756.37
997MH,3,99770,-159.9053854,66.5129158,455867309.68
997MH,4,99748,-158.3760204,64.5333488,141619897.58
997MH,5,99746,-157.1901762,64.8036186,520177241.06
997MH,6,99768,-155.7911321,65.9390232,302505624.34
997MH,7,99720,-152.4046123,66.5414868,23116647.57
997MH,8,99741,-153.0784061,66.3189000,91497774.91
997MH,9,99740,-142.2350195,69.8755591,26750365.78
997MH,10,99740,-141.3971839,69.6950759,160185.24
997MH,11,99774,-150.0707511,65.7497815,917481904.76
997MH,12,99730,-146.1699756,66.5455948,312899817.63
997MH,13,99738,-141.8897665,65.2252101,101253155.44
997MX,0,99721,-168.0632571,64.9729340,10391211.54
997MX,1,99768,-156.9342297,65.1035532,4607812588.88
997MX,2,99748,-157.2232043,64.3143593,20413730464.66
997MX,3,99519,-143.7573770,69.4570096,23946671485.95
997MX,4,99721,-156.2816260,67.9694467,324646577910.99
997MX,5,99790,-148.7385516,65.6134880,15860787873.92
997MX,6,99743,-151.3047230,63.3788251,14568297092.60
997MX,7,99760,-147.3652869,63.6116157,19011563193.69
997MX,8,99740,-142.4448604,67.1218108,23900326857.91
997MX,9,99730,-143.8253149,64.6865986,9748923569.69
997MX,10,99732,-142.8814024,63.8876530,9017729809.56
997MX,11,99780,-141.8941131,62.5421388,7614811374.93
998MH,0,99827,-134.3207636,58.1177151,2461324.33
998MH,1,99827,-135.4843247,58.4882064,290897.61
998MX,0,99827,-135.3249388,58.9703984,18292912.28
998MX,1,99801,-134.8709698,59.0472141,2351786339.47
998MX,2,99820,-134.2349178,57.9300473,19091956.41
998MX,3,99820,-134.1536943,57.8261936,22767416.93
998MX,4,99801,-132.9589117,57.4307588,7330533904.91
998MX,5,delete,-135.9899555,58.6537631,319527.96
998MX,6,99827,-135.4574931,58.3223522,485678.22
998MX,7,delete,-135.2586867,58.1755105,157607.20
998MX,8,99827,-135.6364768,58.3535331,48365775.08
998MX,9,delete,-136.1185635,58.5872020,10945388.74
998MX,10,99820,-134.4775072,57.9490154,2146874797.74
998MX,11,99841,-135.1854488,57.9490706,752078056.67
998MX,12,99820,-134.8928741,57.3756647,87772998.42
998MX,13,99832,-135.6542864,57.6751141,21697841.14
998MX,14,99832,-136.4671465,57.9860832,216058934.10
998MX,15,delete,-135.4501954,57.2213716,34646384.13
998MX,16,99832,-136.1916490,57.6801278,26604183.83
998MX,17,99832,-135.5996384,57.6729636,2661695670.21
998MX,18,delete,-135.6288276,57.2719544,33985387.76
998MX,19,99830,-134.0230234,56.4251159,1281881914.25
998MX,20,delete,-135.7245941,57.1558884,437284506.10
998MX,21,delete,-134.2619418,55.8843921,73368511.91
999MH,0,99901,-131.1949576,55.4419754,746160.79
999MH,1,99901,-131.1922180,55.4219706,1446045.75
999MX,0,99927,-133.5213221,56.1427397,12364119.78
999MX,1,99927,-132.6141860,56.4697361,12165384.64
999MX,2,99921,-133.8931281,55.8930562,50113993.22
999MX,3,99927,-132.9661481,56.2229539,15449390.82
999MX,4,99927,-132.8360015,56.3552778,476017523.59
999MX,5,99927,-133.0329107,56.0869852,31724831.55
999MX,6,99927,-133.2828326,55.8446404,73688961.37
999MX,7,99921,-133.5100724,55.4713804,77762628.47
999MX,8,99927,-133.3674147,55.5182035,91330983.93
999MX,9,99929,-132.3678515,55.8809153,14583949.27
999MX,10,99918,-132.7897400,55.8002652,666525524.23
999MX,11,99922,-133.2783153,55.4258972,22449553.38
999MX,12,99922,-133.5841575,55.3522298,124032999.65
999MX,13,99922,-133.3586876,55.2697326,156144898.85
999MX,14,99922,-132.9071163,55.1986321,18639412.88
999MX,15,99919,-132.3255589,55.5590730,134413254.43
999MX,16,99922,-133.5288184,54.8004062,10289691.46
999MX,17,99921,-132.7125077,55.1248082,5882723.62
999MX,18,99921,-132.7931945,55.0890572,172084097.10
999MX,19,99922,-132.7080806,54.8588683,124129300.95
999MX,20,99901,-130.9572726,55.3508326,15231334.39
999MX,21,99901,-131.1275341,55.3525246,380023271.04
999MX,22,99901,-131.2097578,55.0780630,18104718.77
999MX,23,99901,-130.7361089,55.6311273,9996573136.77
999MX,24,99901,-130.6754642,54.7457162,10749962.75
